,Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Market Category,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP
3586,Land Rover,Discovery Sport,2016,premium unleaded (recommended),240.0,4.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury",Midsize,4dr SUV,26,20,258,37455
3587,Land Rover,Discovery Sport,2017,premium unleaded (recommended),240.0,4.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury",Midsize,4dr SUV,25,20,258,46595
3588,Land Rover,Discovery Sport,2017,premium unleaded (recommended),240.0,4.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury",Midsize,4dr SUV,25,20,258,42195
3589,Land Rover,Discovery Sport,2017,premium unleaded (recommended),240.0,4.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury",Midsize,4dr SUV,25,20,258,37695
4346,Ford,Explorer Sport Trac,2008,regular unleaded,292.0,8.0,AUTOMATIC,all wheel drive,4.0,,Compact,Crew Cab Pickup,19,13,5657,31320
4347,Ford,Explorer Sport Trac,2008,regular unleaded,292.0,8.0,AUTOMATIC,four wheel drive,4.0,,Compact,Crew Cab Pickup,19,13,5657,31320
4348,Ford,Explorer Sport Trac,2008,regular unleaded,210.0,6.0,AUTOMATIC,all wheel drive,4.0,,Compact,Crew Cab Pickup,19,13,5657,30015
4349,Ford,Explorer Sport Trac,2008,regular unleaded,210.0,6.0,AUTOMATIC,four wheel drive,4.0,,Compact,Crew Cab Pickup,19,13,5657,27925
4350,Ford,Explorer Sport Trac,2008,regular unleaded,210.0,6.0,AUTOMATIC,rear wheel drive,4.0,,Compact,Crew Cab Pickup,20,14,5657,25400
4351,Ford,Explorer Sport Trac,2008,regular unleaded,292.0,8.0,AUTOMATIC,rear wheel drive,4.0,,Compact,Crew Cab Pickup,20,13,5657,28800
4352,Ford,Explorer Sport Trac,2008,regular unleaded,210.0,6.0,AUTOMATIC,four wheel drive,4.0,,Compact,Crew Cab Pickup,19,13,5657,30015
4353,Ford,Explorer Sport Trac,2008,regular unleaded,292.0,8.0,AUTOMATIC,rear wheel drive,4.0,,Compact,Crew Cab Pickup,20,13,5657,26710
4354,Ford,Explorer Sport Trac,2008,regular unleaded,210.0,6.0,AUTOMATIC,rear wheel drive,4.0,,Compact,Crew Cab Pickup,20,14,5657,27490
4355,Ford,Explorer Sport Trac,2008,regular unleaded,292.0,8.0,AUTOMATIC,four wheel drive,4.0,,Compact,Crew Cab Pickup,19,13,5657,29235
4356,Ford,Explorer Sport Trac,2009,regular unleaded,292.0,8.0,AUTOMATIC,rear wheel drive,4.0,"Crossover,Performance",Compact,Crew Cab Pickup,21,15,5657,31145
4357,Ford,Explorer Sport Trac,2009,regular unleaded,210.0,6.0,AUTOMATIC,rear wheel drive,4.0,Crossover,Compact,Crew Cab Pickup,20,14,5657,29835
4358,Ford,Explorer Sport Trac,2009,regular unleaded,210.0,6.0,AUTOMATIC,four wheel drive,4.0,Crossover,Compact,Crew Cab Pickup,19,13,5657,28510
4359,Ford,Explorer Sport Trac,2009,regular unleaded,292.0,8.0,AUTOMATIC,four wheel drive,4.0,Crossover,Compact,Crew Cab Pickup,19,14,5657,33670
4360,Ford,Explorer Sport Trac,2009,regular unleaded,292.0,8.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Performance",Compact,Crew Cab Pickup,19,14,5657,33670
4361,Ford,Explorer Sport Trac,2009,regular unleaded,210.0,6.0,AUTOMATIC,rear wheel drive,4.0,Crossover,Compact,Crew Cab Pickup,20,14,5657,29835
4362,Ford,Explorer Sport Trac,2009,regular unleaded,292.0,8.0,AUTOMATIC,four wheel drive,4.0,Crossover,Compact,Crew Cab Pickup,19,14,5657,29820
4363,Ford,Explorer Sport Trac,2009,regular unleaded,292.0,8.0,AUTOMATIC,rear wheel drive,4.0,Crossover,Compact,Crew Cab Pickup,21,15,5657,31145
4364,Ford,Explorer Sport Trac,2009,regular unleaded,292.0,8.0,AUTOMATIC,rear wheel drive,4.0,Crossover,Compact,Crew Cab Pickup,21,15,5657,27295
4365,Ford,Explorer Sport Trac,2009,regular unleaded,210.0,6.0,AUTOMATIC,four wheel drive,4.0,Crossover,Compact,Crew Cab Pickup,19,13,5657,32360
4366,Ford,Explorer Sport Trac,2009,regular unleaded,210.0,6.0,AUTOMATIC,rear wheel drive,4.0,Crossover,Compact,Crew Cab Pickup,20,14,5657,25985
4367,Ford,Explorer Sport Trac,2009,regular unleaded,210.0,6.0,AUTOMATIC,all wheel drive,4.0,Crossover,Compact,Crew Cab Pickup,19,13,5657,32360
4368,Ford,Explorer Sport Trac,2010,regular unleaded,210.0,6.0,AUTOMATIC,rear wheel drive,4.0,Crossover,Compact,Crew Cab Pickup,20,14,5657,33065
4369,Ford,Explorer Sport Trac,2010,regular unleaded,210.0,6.0,AUTOMATIC,four wheel drive,4.0,Crossover,Compact,Crew Cab Pickup,19,13,5657,35590
4370,Ford,Explorer Sport Trac,2010,regular unleaded,210.0,6.0,AUTOMATIC,rear wheel drive,4.0,Crossover,Compact,Crew Cab Pickup,20,14,5657,28210
4371,Ford,Explorer Sport Trac,2010,regular unleaded,210.0,6.0,AUTOMATIC,all wheel drive,4.0,Crossover,Compact,Crew Cab Pickup,19,13,5657,35590
4372,Ford,Explorer Sport Trac,2010,regular unleaded,210.0,6.0,AUTOMATIC,four wheel drive,4.0,Crossover,Compact,Crew Cab Pickup,19,13,5657,30735
4373,Ford,Explorer Sport,2001,regular unleaded,203.0,6.0,MANUAL,four wheel drive,2.0,,Midsize,2dr SUV,18,14,5657,24055
4374,Ford,Explorer Sport,2001,regular unleaded,203.0,6.0,MANUAL,rear wheel drive,2.0,,Midsize,2dr SUV,20,16,5657,21035
4375,Ford,Explorer Sport,2002,regular unleaded,203.0,6.0,AUTOMATIC,rear wheel drive,2.0,,Midsize,2dr SUV,20,15,5657,24615
4376,Ford,Explorer Sport,2002,regular unleaded,203.0,6.0,MANUAL,four wheel drive,2.0,,Midsize,2dr SUV,18,14,5657,24240
4377,Ford,Explorer Sport,2002,regular unleaded,203.0,6.0,MANUAL,rear wheel drive,2.0,,Midsize,2dr SUV,20,16,5657,21220
4378,Ford,Explorer Sport,2002,regular unleaded,203.0,6.0,AUTOMATIC,four wheel drive,2.0,,Midsize,2dr SUV,18,13,5657,26075
4379,Ford,Explorer Sport,2002,regular unleaded,203.0,6.0,AUTOMATIC,rear wheel drive,2.0,,Midsize,2dr SUV,20,15,5657,22265
4380,Ford,Explorer Sport,2002,regular unleaded,203.0,6.0,AUTOMATIC,rear wheel drive,2.0,,Midsize,2dr SUV,20,15,5657,23055
4381,Ford,Explorer Sport,2002,regular unleaded,203.0,6.0,AUTOMATIC,four wheel drive,2.0,,Midsize,2dr SUV,18,13,5657,27780
4382,Ford,Explorer Sport,2002,regular unleaded,203.0,6.0,AUTOMATIC,four wheel drive,2.0,,Midsize,2dr SUV,18,13,5657,25285
4383,Ford,Explorer Sport,2003,regular unleaded,203.0,6.0,AUTOMATIC,rear wheel drive,2.0,,Midsize,2dr SUV,19,14,5657,23835
4384,Ford,Explorer Sport,2003,regular unleaded,203.0,6.0,AUTOMATIC,four wheel drive,2.0,,Midsize,2dr SUV,18,14,5657,25565
4385,Ford,Explorer Sport,2003,regular unleaded,203.0,6.0,AUTOMATIC,rear wheel drive,2.0,,Midsize,2dr SUV,19,14,5657,22545
4386,Ford,Explorer Sport,2003,regular unleaded,203.0,6.0,AUTOMATIC,rear wheel drive,2.0,,Midsize,2dr SUV,19,14,5657,25595
4387,Ford,Explorer Sport,2003,regular unleaded,203.0,6.0,AUTOMATIC,four wheel drive,2.0,,Midsize,2dr SUV,18,14,5657,28760
4388,Ford,Explorer Sport,2003,regular unleaded,203.0,6.0,MANUAL,four wheel drive,2.0,,Midsize,2dr SUV,17,14,5657,24890
4389,Ford,Explorer Sport,2003,regular unleaded,203.0,6.0,AUTOMATIC,four wheel drive,2.0,,Midsize,2dr SUV,18,14,5657,26915
4390,Ford,Explorer Sport,2003,regular unleaded,203.0,6.0,MANUAL,rear wheel drive,2.0,,Midsize,2dr SUV,20,15,5657,21870
5424,Volkswagen,Golf SportWagen,2015,diesel,150.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Diesel,Compact,Wagon,42,31,873,31445
5425,Volkswagen,Golf SportWagen,2015,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,4.0,,Compact,Wagon,35,25,873,22495
5426,Volkswagen,Golf SportWagen,2015,diesel,150.0,4.0,MANUAL,front wheel drive,4.0,Diesel,Compact,Wagon,43,31,873,27995
5427,Volkswagen,Golf SportWagen,2015,regular unleaded,170.0,4.0,MANUAL,front wheel drive,4.0,,Compact,Wagon,36,25,873,21395
5428,Volkswagen,Golf SportWagen,2015,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,4.0,,Compact,Wagon,35,25,873,29345
5429,Volkswagen,Golf SportWagen,2015,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,4.0,,Compact,Wagon,36,25,873,26995
5430,Volkswagen,Golf SportWagen,2015,diesel,150.0,4.0,MANUAL,front wheel drive,4.0,Diesel,Compact,Wagon,43,31,873,30345
5431,Volkswagen,Golf SportWagen,2015,diesel,150.0,4.0,MANUAL,front wheel drive,4.0,Diesel,Compact,Wagon,43,31,873,24595
5432,Volkswagen,Golf SportWagen,2015,diesel,150.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Diesel,Compact,Wagon,42,31,873,25695
5433,Volkswagen,Golf SportWagen,2015,diesel,150.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Diesel,Compact,Wagon,42,31,873,29095
5434,Volkswagen,Golf SportWagen,2016,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,4.0,,Compact,Wagon,35,25,873,24995
5435,Volkswagen,Golf SportWagen,2016,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,4.0,,Compact,Wagon,35,25,873,27025
5436,Volkswagen,Golf SportWagen,2016,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,4.0,,Compact,Wagon,35,25,873,29385
5437,Volkswagen,Golf SportWagen,2016,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,4.0,,Compact,Wagon,35,25,873,22725
5438,Volkswagen,Golf SportWagen,2016,regular unleaded,170.0,4.0,MANUAL,front wheel drive,4.0,,Compact,Wagon,36,25,873,21625
5439,Volkswagen,Golf SportWagen,2017,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,4.0,,Compact,Wagon,34,25,873,22680
5440,Volkswagen,Golf SportWagen,2017,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,4.0,,Compact,Wagon,34,25,873,27030
5441,Volkswagen,Golf SportWagen,2017,regular unleaded,170.0,4.0,MANUAL,front wheel drive,4.0,,Compact,Wagon,35,25,873,21580
5442,Volkswagen,Golf SportWagen,2017,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,4.0,,Compact,Wagon,34,25,873,29970
5539,Maserati,GranSport,2005,premium unleaded (required),395.0,8.0,AUTOMATED_MANUAL,rear wheel drive,2.0,"Exotic,Factory Tuner,Luxury,High-Performance",Compact,Coupe,16,11,238,98172
5540,Maserati,GranSport,2006,premium unleaded (required),401.0,8.0,AUTOMATIC,rear wheel drive,2.0,"Exotic,Factory Tuner,Luxury,High-Performance",Compact,Coupe,18,11,238,98872
5541,Maserati,GranSport,2006,premium unleaded (required),401.0,8.0,AUTOMATIC,rear wheel drive,2.0,"Exotic,Factory Tuner,Luxury,High-Performance",Compact,Coupe,18,11,238,104122
5542,Maserati,GranSport,2006,premium unleaded (required),401.0,8.0,AUTOMATIC,rear wheel drive,2.0,"Exotic,Factory Tuner,Luxury,High-Performance",Compact,Convertible,18,11,238,99900
6052,Volkswagen,Jetta SportWagen,2012,regular unleaded,170.0,5.0,AUTOMATIC,front wheel drive,4.0,,Compact,Wagon,31,24,873,24210
6053,Volkswagen,Jetta SportWagen,2012,regular unleaded,170.0,5.0,AUTOMATIC,front wheel drive,4.0,,Compact,Wagon,31,24,873,21295
6054,Volkswagen,Jetta SportWagen,2012,diesel,140.0,4.0,MANUAL,front wheel drive,4.0,Diesel,Compact,Wagon,42,30,873,28120
6055,Volkswagen,Jetta SportWagen,2012,regular unleaded,170.0,5.0,AUTOMATIC,front wheel drive,4.0,,Compact,Wagon,31,24,873,24210
6056,Volkswagen,Jetta SportWagen,2012,regular unleaded,170.0,5.0,AUTOMATIC,front wheel drive,4.0,,Compact,Wagon,31,24,873,21295
6057,Volkswagen,Jetta SportWagen,2012,regular unleaded,170.0,5.0,MANUAL,front wheel drive,4.0,,Compact,Wagon,33,23,873,20195
6058,Volkswagen,Jetta SportWagen,2012,regular unleaded,170.0,5.0,MANUAL,front wheel drive,4.0,,Compact,Wagon,33,23,873,20195
6059,Volkswagen,Jetta SportWagen,2012,diesel,140.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Diesel,Compact,Wagon,39,29,873,28390
6060,Volkswagen,Jetta SportWagen,2012,diesel,140.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Diesel,Compact,Wagon,39,29,873,29220
6061,Volkswagen,Jetta SportWagen,2012,regular unleaded,170.0,5.0,AUTOMATIC,front wheel drive,4.0,,Compact,Wagon,31,24,873,25960
6062,Volkswagen,Jetta SportWagen,2012,diesel,140.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Diesel,Compact,Wagon,39,29,873,26640
6063,Volkswagen,Jetta SportWagen,2012,regular unleaded,170.0,5.0,AUTOMATIC,front wheel drive,4.0,,Compact,Wagon,31,24,873,25960
6064,Volkswagen,Jetta SportWagen,2012,diesel,140.0,4.0,MANUAL,front wheel drive,4.0,Diesel,Compact,Wagon,42,30,873,25540
6065,Volkswagen,Jetta SportWagen,2012,diesel,140.0,4.0,MANUAL,front wheel drive,4.0,Diesel,Compact,Wagon,42,30,873,27290
6066,Volkswagen,Jetta SportWagen,2013,regular unleaded,170.0,5.0,AUTOMATIC,front wheel drive,4.0,,Compact,Wagon,31,24,873,21695
6067,Volkswagen,Jetta SportWagen,2013,regular unleaded,170.0,5.0,AUTOMATIC,front wheel drive,4.0,,Compact,Wagon,31,24,873,21695
6068,Volkswagen,Jetta SportWagen,2013,diesel,140.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Diesel,Compact,Wagon,39,29,873,29495
6069,Volkswagen,Jetta SportWagen,2013,regular unleaded,170.0,5.0,MANUAL,front wheel drive,4.0,,Compact,Wagon,33,23,873,20595
6070,Volkswagen,Jetta SportWagen,2013,diesel,140.0,4.0,MANUAL,front wheel drive,4.0,Diesel,Compact,Wagon,42,30,873,28395
6071,Volkswagen,Jetta SportWagen,2013,diesel,140.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Diesel,Compact,Wagon,39,29,873,26895
6072,Volkswagen,Jetta SportWagen,2013,regular unleaded,170.0,5.0,MANUAL,front wheel drive,4.0,,Compact,Wagon,33,23,873,20595
6073,Volkswagen,Jetta SportWagen,2013,diesel,140.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Diesel,Compact,Wagon,39,29,873,28695
6074,Volkswagen,Jetta SportWagen,2013,regular unleaded,170.0,5.0,AUTOMATIC,front wheel drive,4.0,,Compact,Wagon,31,24,873,24395
6075,Volkswagen,Jetta SportWagen,2013,regular unleaded,170.0,5.0,AUTOMATIC,front wheel drive,4.0,,Compact,Wagon,31,24,873,26195
6076,Volkswagen,Jetta SportWagen,2013,regular unleaded,170.0,5.0,AUTOMATIC,front wheel drive,4.0,,Compact,Wagon,31,24,873,26195
6077,Volkswagen,Jetta SportWagen,2013,regular unleaded,170.0,5.0,AUTOMATIC,front wheel drive,4.0,,Compact,Wagon,31,24,873,24395
6078,Volkswagen,Jetta SportWagen,2013,diesel,140.0,4.0,MANUAL,front wheel drive,4.0,Diesel,Compact,Wagon,42,30,873,27595
6079,Volkswagen,Jetta SportWagen,2013,diesel,140.0,4.0,MANUAL,front wheel drive,4.0,Diesel,Compact,Wagon,42,30,873,25795
6080,Volkswagen,Jetta SportWagen,2014,regular unleaded,170.0,5.0,MANUAL,front wheel drive,4.0,,Compact,Wagon,33,23,873,20995
6081,Volkswagen,Jetta SportWagen,2014,diesel,140.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Diesel,Compact,Wagon,39,29,873,27665
6082,Volkswagen,Jetta SportWagen,2014,diesel,140.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Diesel,Compact,Wagon,39,29,873,30265
6083,Volkswagen,Jetta SportWagen,2014,diesel,140.0,4.0,MANUAL,front wheel drive,4.0,Diesel,Compact,Wagon,42,30,873,29165
6084,Volkswagen,Jetta SportWagen,2014,regular unleaded,170.0,5.0,AUTOMATIC,front wheel drive,4.0,,Compact,Wagon,30,23,873,26685
6085,Volkswagen,Jetta SportWagen,2014,regular unleaded,170.0,5.0,AUTOMATIC,front wheel drive,4.0,,Compact,Wagon,30,23,873,24885
6086,Volkswagen,Jetta SportWagen,2014,regular unleaded,170.0,5.0,AUTOMATIC,front wheel drive,4.0,,Compact,Wagon,30,23,873,22095
6087,Volkswagen,Jetta SportWagen,2014,regular unleaded,170.0,5.0,AUTOMATIC,front wheel drive,4.0,,Compact,Wagon,30,23,873,26685
6088,Volkswagen,Jetta SportWagen,2014,regular unleaded,170.0,5.0,MANUAL,front wheel drive,4.0,,Compact,Wagon,33,23,873,20995
6089,Volkswagen,Jetta SportWagen,2014,diesel,140.0,4.0,MANUAL,front wheel drive,4.0,Diesel,Compact,Wagon,42,30,873,26565
6090,Volkswagen,Jetta SportWagen,2014,regular unleaded,170.0,5.0,AUTOMATIC,front wheel drive,4.0,,Compact,Wagon,30,23,873,24885
6091,Volkswagen,Jetta SportWagen,2014,regular unleaded,170.0,5.0,AUTOMATIC,front wheel drive,4.0,,Compact,Wagon,30,23,873,22095
6092,Volkswagen,Jetta SportWagen,2014,diesel,140.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Diesel,Compact,Wagon,39,29,873,29465
6093,Volkswagen,Jetta SportWagen,2014,diesel,140.0,4.0,MANUAL,front wheel drive,4.0,Diesel,Compact,Wagon,42,30,873,28365
6323,Mitsubishi,Lancer Sportback,2012,regular unleaded,168.0,4.0,AUTOMATIC,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,29,22,436,21345
6324,Mitsubishi,Lancer Sportback,2012,regular unleaded,148.0,4.0,AUTOMATIC,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,32,24,436,18395
6325,Mitsubishi,Lancer Sportback,2013,regular unleaded,148.0,4.0,AUTOMATIC,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,32,24,436,18495
6326,Mitsubishi,Lancer Sportback,2013,regular unleaded,168.0,4.0,AUTOMATIC,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,29,22,436,21495
6327,Mitsubishi,Lancer Sportback,2014,regular unleaded,168.0,4.0,AUTOMATIC,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,29,22,436,21945
6328,Mitsubishi,Lancer Sportback,2014,regular unleaded,148.0,4.0,AUTOMATIC,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,32,24,436,18595
6975,Mitsubishi,Montero Sport,2002,regular unleaded,197.0,6.0,AUTOMATIC,rear wheel drive,4.0,,Midsize,4dr SUV,20,15,436,27607
6976,Mitsubishi,Montero Sport,2002,regular unleaded,165.0,6.0,AUTOMATIC,four wheel drive,4.0,,Midsize,4dr SUV,19,15,436,27777
6977,Mitsubishi,Montero Sport,2002,regular unleaded,197.0,6.0,AUTOMATIC,four wheel drive,4.0,,Midsize,4dr SUV,17,14,436,29627
6978,Mitsubishi,Montero Sport,2002,regular unleaded,165.0,6.0,AUTOMATIC,rear wheel drive,4.0,,Midsize,4dr SUV,21,16,436,22777
6979,Mitsubishi,Montero Sport,2002,regular unleaded,197.0,6.0,AUTOMATIC,four wheel drive,4.0,,Midsize,4dr SUV,17,14,436,32887
6980,Mitsubishi,Montero Sport,2002,regular unleaded,197.0,6.0,AUTOMATIC,rear wheel drive,4.0,,Midsize,4dr SUV,20,15,436,31317
6981,Mitsubishi,Montero Sport,2002,regular unleaded,165.0,6.0,AUTOMATIC,four wheel drive,4.0,,Midsize,4dr SUV,19,15,436,25087
6982,Mitsubishi,Montero Sport,2002,regular unleaded,165.0,6.0,AUTOMATIC,rear wheel drive,4.0,,Midsize,4dr SUV,21,16,436,25637
6983,Mitsubishi,Montero Sport,2003,regular unleaded,165.0,6.0,AUTOMATIC,four wheel drive,4.0,,Midsize,4dr SUV,19,15,436,27777
6984,Mitsubishi,Montero Sport,2003,regular unleaded,165.0,6.0,AUTOMATIC,four wheel drive,4.0,,Midsize,4dr SUV,19,15,436,25217
6985,Mitsubishi,Montero Sport,2003,regular unleaded,197.0,6.0,AUTOMATIC,rear wheel drive,4.0,,Midsize,4dr SUV,20,15,436,27607
6986,Mitsubishi,Montero Sport,2003,regular unleaded,165.0,6.0,AUTOMATIC,rear wheel drive,4.0,,Midsize,4dr SUV,21,16,436,22907
6987,Mitsubishi,Montero Sport,2003,regular unleaded,197.0,6.0,AUTOMATIC,four wheel drive,4.0,,Midsize,4dr SUV,17,14,436,32887
6988,Mitsubishi,Montero Sport,2003,regular unleaded,197.0,6.0,AUTOMATIC,four wheel drive,4.0,,Midsize,4dr SUV,17,14,436,29627
6989,Mitsubishi,Montero Sport,2003,regular unleaded,165.0,6.0,AUTOMATIC,rear wheel drive,4.0,,Midsize,4dr SUV,21,16,436,25637
6990,Mitsubishi,Montero Sport,2003,regular unleaded,197.0,6.0,AUTOMATIC,rear wheel drive,4.0,,Midsize,4dr SUV,20,15,436,31317
6991,Mitsubishi,Montero Sport,2004,regular unleaded,197.0,6.0,AUTOMATIC,rear wheel drive,4.0,,Midsize,4dr SUV,19,15,436,26199
6992,Mitsubishi,Montero Sport,2004,regular unleaded,197.0,6.0,AUTOMATIC,four wheel drive,4.0,,Midsize,4dr SUV,17,14,436,25999
6993,Mitsubishi,Montero Sport,2004,regular unleaded,197.0,6.0,AUTOMATIC,four wheel drive,4.0,,Midsize,4dr SUV,17,14,436,28199
6994,Mitsubishi,Montero Sport,2004,regular unleaded,197.0,6.0,AUTOMATIC,rear wheel drive,4.0,,Midsize,4dr SUV,19,15,436,23999
7352,Mitsubishi,Outlander Sport,2015,regular unleaded,148.0,4.0,AUTOMATIC,four wheel drive,4.0,Crossover,Compact,4dr SUV,30,24,436,22195
7353,Mitsubishi,Outlander Sport,2015,regular unleaded,168.0,4.0,AUTOMATIC,front wheel drive,4.0,Crossover,Compact,4dr SUV,28,23,436,21295
7354,Mitsubishi,Outlander Sport,2015,regular unleaded,168.0,4.0,AUTOMATIC,four wheel drive,4.0,Crossover,Compact,4dr SUV,26,23,436,22695
7355,Mitsubishi,Outlander Sport,2015,regular unleaded,168.0,4.0,AUTOMATIC,four wheel drive,4.0,Crossover,Compact,4dr SUV,26,23,436,24995
